"mention_id","event_id","account_id","start_position","length","task_id","team_id","dtype","workspace_id"
"48f0a81d-63c7-47b1-a817-9e1dfa96fc45","bfe7f8c7-b19e-4d24-8c9f-d23e3b06f3b1","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"fea2dc36-02a5-4833-9cab-84c5c5f56ff3","1520f1ff-f138-4b84-b263-a77b941663ad","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"b274e4ee-9965-4198-bffa-3667ce362124","25b872e0-19b2-4ec5-91e2-51dd467efa10","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"cb20006a-088a-4869-b1bf-9f7cd9a641fa","def90ee3-f644-44dd-be6e-70a68dc793d8","null","0","17","null","27264d57-eab1-4c1a-9b48-4ba05db08af2","TeamMention","null"
"156c28fd-31bc-4b70-a068-2b8f5bf7ab98","7689b3b1-784c-4f4a-bb39-648b141b70e2","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"d63c755b-e9bc-4b3c-921e-5d96e357444f","5dae86fd-e96a-4f6e-ab0d-c609e9337427","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"dbc37018-1c24-4a2a-85d5-34a40460b50d","11fb9ab3-5852-43d6-b8b3-1e6cbac68e8f","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","101","14","null","null","AccountMention","null"
"0721f275-8c8f-4eee-b855-c1350c6fc6cb","2f309ecf-f8eb-409e-a8d3-ae207f65ae2c","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"63bb0626-1203-447e-b78e-f03ee231bca6","afb60ee8-cb2f-4f80-b63a-a186afa69b82","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"88635e09-f912-4a62-92f7-0ff2603dc1ac","54b5c7dc-8573-47c1-bf02-b645d9f6e4d1","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
